iter	Passed	Remaining
0	0	87
1	1	79
2	2	77
3	3	73
4	3	71
5	4	70
6	5	70
7	5	68
8	6	67
9	7	66
10	8	66
11	8	65
12	9	63
13	10	63
14	11	62
15	11	61
16	12	60
17	13	59
18	13	59
19	14	58
20	15	57
21	15	56
22	16	55
23	17	55
24	18	54
25	18	53
26	19	52
27	20	52
28	21	51
29	21	50
30	22	50
31	28	60
32	29	60
33	30	59
34	31	58
35	32	57
36	33	56
37	35	58
38	36	57
39	37	56
40	38	55
41	39	54
42	39	52
43	40	51
44	41	50
45	42	49
46	43	49
47	44	48
48	45	47
49	46	46
50	47	45
51	48	44
52	48	43
53	50	42
54	50	41
55	51	40
56	52	39
57	53	38
58	54	37
59	54	36
60	55	35
61	56	34
62	57	33
63	58	32
64	58	31
65	59	30
66	60	29
67	61	28
68	62	27
69	63	27
70	63	26
71	64	25
72	65	24
73	66	23
74	67	22
75	67	21
76	68	20
77	69	19
78	70	18
79	70	17
80	71	16
81	72	15
82	72	14
83	73	13
84	74	13
85	74	12
86	75	11
87	76	10
88	77	9
89	77	8
90	78	7
91	79	6
92	80	6
93	80	5
94	81	4
95	82	3
96	82	2
97	83	1
98	84	0
99	85	0
